epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
123,7.629600,0.362198,4.389614,0.165984,0.124332,0.198471,11.741824,0.062548,0.042447,1.487944,0.190571,0.355672,0.199716,0.218355,0.073677,0.194084,1.254145
124,7.579577,0.370090,4.406543,0.167472,0.125325,0.199200,11.192520,0.064098,0.041725,1.473025,0.182396,0.355638,0.202152,0.201022,0.074775,0.226628,1.205893
125,7.604010,0.364153,4.386166,0.165749,0.124373,0.198940,11.589396,0.062251,0.041413,1.465163,0.189743,0.365062,0.204950,0.206817,0.076561,0.222330,1.223730
126,7.666671,0.350419,4.408739,0.167123,0.124548,0.198846,11.870928,0.066197,0.043220,1.486952,0.187932,0.360416,0.202575,0.206283,0.073972,0.224755,1.216444
127,7.568567,0.346172,4.386387,0.165802,0.124085,0.198674,11.466688,0.063977,0.040408,1.485896,0.187190,0.357550,0.200113,0.212283,0.074600,0.215476,1.227270
128,7.623944,0.355331,4.380165,0.165970,0.124084,0.198722,11.815328,0.062995,0.041160,1.483909,0.187398,0.357912,0.201608,0.210288,0.068103,0.195661,1.243116
129,7.591605,0.322767,4.397866,0.166746,0.124256,0.198541,11.647833,0.066022,0.042417,1.497042,0.190955,0.359563,0.202733,0.216699,0.078569,0.227882,1.223958
130,7.599279,0.344413,4.415044,0.166301,0.124683,0.198994,11.456257,0.064797,0.042033,1.492852,0.187096,0.354812,0.200123,0.205090,0.068148,0.218108,1.216908
131,7.540932,0.349521,4.381795,0.166569,0.123929,0.198164,11.236673,0.064706,0.045423,1.464053,0.196948,0.367910,0.202128,0.216197,0.065221,0.210560,1.241050
132,7.622877,0.333000,4.415452,0.166834,0.125441,0.199356,11.655083,0.065934,0.042613,1.506840,0.187558,0.354113,0.198727,0.214007,0.080833,0.190064,1.256416
133,7.614897,0.348350,4.378037,0.165914,0.124413,0.198582,11.799706,0.064806,0.041462,1.479337,0.193472,0.358628,0.201892,0.211806,0.063754,0.196829,1.246580
134,7.633017,0.343514,4.390489,0.166594,0.123722,0.198371,11.847943,0.064065,0.043789,1.466668,0.189302,0.364684,0.202065,0.214945,0.078527,0.207295,1.242766
135,7.607831,0.348964,4.396544,0.165886,0.123716,0.198045,11.640680,0.064152,0.041441,1.477507,0.196249,0.362159,0.202195,0.217381,0.068020,0.189051,1.262970
136,7.510480,0.326438,4.388128,0.165347,0.124241,0.198669,11.217966,0.060565,0.043213,1.496165,0.182216,0.362150,0.202503,0.199218,0.078531,0.232637,1.202118
137,7.613844,0.342877,4.394881,0.166431,0.124025,0.198640,11.689760,0.064643,0.043643,1.481886,0.188927,0.362419,0.200151,0.205572,0.067593,0.199012,1.239146
138,7.617066,0.342719,4.396870,0.166255,0.123942,0.198490,11.684750,0.067323,0.043044,1.476919,0.192863,0.364612,0.203863,0.213915,0.078160,0.217747,1.235542
139,7.575301,0.336363,4.403689,0.165926,0.124985,0.199171,11.431510,0.063183,0.043774,1.488407,0.191366,0.364225,0.205758,0.215455,0.075513,0.206445,1.245008
140,7.618427,0.327574,4.416211,0.166416,0.125703,0.199995,11.676195,0.063743,0.042471,1.498193,0.196667,0.363183,0.200522,0.213857,0.072567,0.207480,1.245515
