epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
112,8.063608,0.386173,5.145812,0.215885,0.125325,0.204468,9.263236,1.617983,0.187881,0.355552,0.204674,0.175106,1.155521
113,8.127898,0.459458,5.129215,0.212246,0.125408,0.204369,9.388260,1.596845,0.210162,0.383884,0.215175,0.170243,1.192007
114,8.082239,0.447450,5.043777,0.213324,0.123398,0.203209,9.730902,1.525827,0.193240,0.378067,0.210416,0.146802,1.195697
115,8.137480,0.434823,5.221087,0.212286,0.126730,0.204876,8.994727,1.673695,0.183833,0.345438,0.198963,0.142603,1.179955
116,8.039640,0.447015,5.079435,0.211861,0.122367,0.201579,9.267643,1.537496,0.204705,0.364192,0.207279,0.116393,1.233699
117,8.086238,0.427769,5.106600,0.210456,0.122847,0.202862,9.532982,1.541403,0.198690,0.369115,0.208202,0.149613,1.195771
118,8.122538,0.389157,5.220240,0.213898,0.126528,0.205321,9.165870,1.667091,0.180858,0.347742,0.200262,0.161389,1.159109
119,8.145630,0.474375,5.163693,0.208860,0.128088,0.206496,9.210327,1.631101,0.199721,0.383657,0.212359,0.181135,1.169643
120,8.077990,0.472063,5.050550,0.209323,0.123451,0.203595,9.567161,1.507936,0.201904,0.360746,0.205029,0.164238,1.181575
121,8.039937,0.351935,5.200768,0.211927,0.125443,0.205248,9.033955,1.648871,0.184339,0.353335,0.202425,0.145961,1.179893
122,8.050508,0.417644,5.103708,0.211386,0.123929,0.204412,9.337940,1.562884,0.206944,0.373801,0.209443,0.123787,1.231222
123,8.038806,0.419273,5.151641,0.209210,0.126537,0.205996,8.947168,1.599628,0.188127,0.351851,0.203430,0.128401,1.201297
124,8.035007,0.404789,5.113449,0.209515,0.125246,0.205302,9.278278,1.533253,0.191537,0.374253,0.209275,0.146419,1.193215
125,8.034050,0.382889,5.225305,0.210014,0.128398,0.207438,8.627408,1.658569,0.201924,0.353685,0.204131,0.135057,1.209050
126,8.073296,0.519354,4.985513,0.204622,0.122266,0.202946,9.758839,1.447284,0.198408,0.361266,0.207079,0.181994,1.161145
127,8.006001,0.408035,5.168386,0.206435,0.129597,0.208881,8.700483,1.633598,0.202943,0.381031,0.211678,0.154280,1.198956
128,8.053270,0.413082,5.224261,0.205902,0.129174,0.208417,8.627625,1.630100,0.189405,0.362666,0.205760,0.144412,1.189542
129,8.074746,0.486794,5.058935,0.204186,0.124182,0.204471,9.480030,1.490852,0.193912,0.354111,0.204255,0.140040,1.196184
130,7.989569,0.420151,5.035644,0.207075,0.123866,0.204627,9.451532,1.472581,0.180736,0.357519,0.205350,0.181837,1.142275
131,7.947122,0.438651,5.026102,0.204437,0.124705,0.204809,9.158504,1.497856,0.194160,0.361927,0.206538,0.152226,1.186608
132,7.924673,0.368559,5.104224,0.204239,0.126803,0.206531,8.931295,1.585478,0.190454,0.366815,0.208951,0.164283,1.172667
133,7.931036,0.345001,5.152729,0.207086,0.127481,0.207002,8.742795,1.609324,0.182224,0.367884,0.208809,0.167177,1.161707
134,7.978384,0.372123,5.169557,0.206972,0.127107,0.207205,8.764556,1.602438,0.190978,0.362829,0.206888,0.130777,1.205178
135,7.988251,0.380579,5.134651,0.206832,0.126230,0.206499,9.020933,1.602126,0.194661,0.364704,0.207561,0.114790,1.225458
136,7.997267,0.426774,5.090623,0.205682,0.125916,0.206681,9.086737,1.545401,0.198292,0.360969,0.206641,0.146133,1.196678
137,8.020341,0.430116,5.100046,0.208340,0.125061,0.205709,9.118040,1.526945,0.187339,0.360370,0.206289,0.138478,1.193136
138,7.958611,0.432485,5.034203,0.204170,0.124674,0.205351,9.218878,1.516633,0.195470,0.359755,0.205204,0.153790,1.185452
139,7.964793,0.415904,5.045671,0.205971,0.124836,0.205499,9.255735,1.528627,0.194619,0.358059,0.206018,0.135964,1.202373
140,8.002820,0.417824,5.093120,0.207481,0.124758,0.205718,9.146453,1.529456,0.190259,0.361025,0.206495,0.141428,1.193309
