epoch,g_total,g_adv,g_recon,d_loss,val_l1
269,4.560537,0.944679,3.615859,1.063096,0.158632
270,4.603933,0.990742,3.613191,1.067894,0.158470
271,4.570099,0.956872,3.613227,1.090010,0.159610
272,4.643516,1.032279,3.611237,1.053464,0.157854
273,4.473754,0.865283,3.608472,1.055385,0.158376
274,4.520313,0.910312,3.610001,1.023439,0.158832
275,4.638028,1.024354,3.613673,1.035371,0.158515
276,4.559655,0.950715,3.608940,1.033826,0.158685
277,4.585527,0.979938,3.605590,1.059790,0.158482
278,4.446346,0.837878,3.608469,1.043057,0.158953
279,4.510488,0.902052,3.608436,1.036473,0.158202
280,4.517739,0.918425,3.599314,1.029240,0.158870
281,4.498221,0.891181,3.607040,1.017133,0.158644
282,4.424464,0.809673,3.614791,1.033297,0.158939
283,4.528529,0.923446,3.605083,1.018151,0.158619
284,4.609126,0.999002,3.610124,1.000178,0.158718
285,4.545718,0.941398,3.604320,1.024328,0.159152
286,4.463232,0.858433,3.604799,1.038636,0.158541
287,4.566409,0.960234,3.606176,1.027967,0.158780
288,4.466949,0.871924,3.595025,1.003564,0.159067
289,4.613028,1.003957,3.609071,1.003045,0.158754
290,4.552048,0.951847,3.600201,1.002777,0.159112
291,4.549314,0.944619,3.604695,0.988346,0.158181
292,4.521386,0.918822,3.602563,0.983457,0.158414
293,4.544137,0.942348,3.601789,0.991123,0.158860
294,4.487779,0.893946,3.593832,0.991117,0.157935
295,4.572452,0.967861,3.604591,1.001781,0.158393
296,4.479630,0.887203,3.592428,1.005139,0.158157
297,4.585261,0.985254,3.600008,0.971716,0.157754
298,4.512612,0.920307,3.592306,0.975739,0.159025
299,4.438181,0.844535,3.593646,0.962574,0.158167
300,4.541620,0.940272,3.601348,0.966597,0.159286
301,4.560720,0.970231,3.590490,0.971492,0.158599
302,4.524769,0.939332,3.585438,0.956875,0.158470
303,4.731074,1.129322,3.601753,0.921447,0.158574
304,4.524879,0.928074,3.596805,0.972952,0.158660
305,4.552133,0.961115,3.591018,0.959060,0.158319
306,4.526495,0.934745,3.591750,0.942246,0.158439
307,4.608662,1.014461,3.594201,0.944534,0.159198
308,4.526437,0.934683,3.591754,0.964852,0.158461
309,4.529507,0.936508,3.592999,0.928505,0.157726
310,4.533011,0.936851,3.596161,0.989573,0.157951
311,4.473688,0.886702,3.586986,0.974546,0.158566
312,4.538284,0.959553,3.578731,0.921300,0.159922
313,4.488998,0.897278,3.591721,0.938927,0.159179
314,4.483499,0.897591,3.585908,0.947810,0.158798
315,4.465583,0.878474,3.587109,0.937730,0.159015
316,4.533196,0.943414,3.589783,0.931903,0.158807
317,4.505922,0.923379,3.582544,0.941895,0.158223
318,4.428870,0.850009,3.578861,0.939632,0.158228
319,4.516849,0.935348,3.581501,0.924999,0.159244
320,4.513168,0.929925,3.583243,0.937938,0.157603
321,4.475797,0.893162,3.582634,0.934981,0.158234
322,4.455203,0.870486,3.584717,0.928856,0.157656
323,4.523545,0.945827,3.577718,0.916724,0.158096
324,4.468613,0.896582,3.572031,0.918502,0.158237
325,4.478162,0.898639,3.579524,0.932676,0.158641
326,4.425662,0.846460,3.579203,0.922953,0.158283
327,4.479624,0.899214,3.580410,0.905218,0.157472
328,4.468828,0.892108,3.576721,0.917624,0.158716
329,4.476112,0.895536,3.580576,0.934103,0.157909
330,4.455970,0.874554,3.581415,0.923363,0.158594
331,4.563185,0.986215,3.576970,0.909835,0.158771
332,4.466195,0.891680,3.574515,0.908519,0.158472
333,4.428102,0.855020,3.573083,0.910236,0.158740
334,4.424749,0.849625,3.575125,0.913246,0.158869
335,4.455235,0.877746,3.577488,0.905870,0.157781
336,4.435673,0.856523,3.579150,0.913657,0.159192
337,4.390818,0.824815,3.566003,0.908079,0.158381
338,4.417410,0.848243,3.569167,0.913219,0.159062
339,4.470114,0.895748,3.574366,0.894258,0.157870
340,4.480428,0.909160,3.571268,0.889433,0.158150
341,4.423399,0.848643,3.574757,0.895151,0.158293
342,4.409770,0.842956,3.566814,0.895084,0.158307
343,4.451574,0.877939,3.573636,0.898141,0.158768
344,4.432493,0.864511,3.567983,0.902725,0.158172
345,4.442829,0.871680,3.571149,0.888579,0.158315
346,4.439359,0.871606,3.567752,0.876971,0.158355
347,4.470012,0.901584,3.568428,0.888532,0.157298
348,4.430870,0.859161,3.571708,0.885147,0.158079
349,4.426361,0.855467,3.570895,0.891335,0.158422
350,4.424971,0.859679,3.565291,0.871700,0.158191
351,4.428661,0.863862,3.564799,0.880545,0.158339
352,4.421547,0.850757,3.570790,0.888551,0.158324
353,4.421253,0.851709,3.569543,0.884524,0.158700
354,4.403482,0.834161,3.569321,0.882429,0.158686
355,4.402039,0.841927,3.560111,0.886919,0.159189
356,4.401917,0.832894,3.569023,0.874193,0.158619
357,4.383752,0.822368,3.561384,0.870227,0.158436
358,4.423176,0.860343,3.562833,0.867060,0.157930
359,4.396770,0.828419,3.568352,0.878477,0.157745
360,4.404685,0.839224,3.565460,0.871519,0.158658
361,4.385680,0.822527,3.563154,0.861170,0.158572
362,4.405773,0.843038,3.562735,0.877332,0.158454
363,4.408872,0.846687,3.562184,0.875164,0.158476
364,4.395155,0.829858,3.565297,0.863674,0.158810
365,4.385154,0.820575,3.564579,0.865971,0.158727
366,4.372933,0.809381,3.563553,0.860381,0.158767
367,4.368356,0.810548,3.557808,0.863713,0.159210
368,4.384761,0.817883,3.566878,0.880464,0.158815
369,4.391925,0.832396,3.559529,0.863176,0.158124
370,4.389052,0.824326,3.564726,0.873942,0.158487
371,4.374943,0.821948,3.552995,0.844544,0.157930
372,4.366849,0.803176,3.563673,0.868480,0.158374
373,4.364310,0.801857,3.562453,0.856001,0.158488
374,4.383738,0.824028,3.559709,0.843949,0.158163
375,4.363530,0.810412,3.553118,0.858154,0.158486
376,4.381288,0.827063,3.554225,0.839513,0.158377
377,4.383902,0.825412,3.558491,0.851269,0.158530
378,4.366062,0.809131,3.556931,0.848775,0.158588
379,4.384123,0.824063,3.560060,0.834107,0.158483
380,4.382630,0.822610,3.560020,0.837549,0.158139
381,4.367959,0.810099,3.557859,0.843531,0.158574
382,4.372833,0.819224,3.553610,0.837590,0.158572
383,4.365269,0.803694,3.561575,0.844187,0.158171
384,4.367438,0.809876,3.557562,0.841737,0.158524
385,4.368562,0.812921,3.555640,0.837490,0.158382
386,4.354918,0.799366,3.555552,0.837302,0.158502
387,4.359543,0.803063,3.556480,0.834288,0.158071
388,4.360611,0.807688,3.552923,0.827799,0.158304
389,4.358306,0.800601,3.557705,0.835750,0.158432
390,4.338048,0.782441,3.555607,0.837603,0.158430
391,4.348978,0.798683,3.550295,0.833190,0.158368
392,4.347624,0.794431,3.553192,0.829257,0.158399
393,4.352278,0.797641,3.554637,0.834498,0.158624
394,4.341630,0.788312,3.553318,0.829934,0.158714
395,4.346991,0.790798,3.556193,0.836677,0.158488
396,4.328900,0.770347,3.558554,0.841217,0.159005
397,4.351024,0.799472,3.551552,0.817575,0.158838
398,4.342457,0.793451,3.549006,0.817958,0.158134
399,4.337841,0.782191,3.555649,0.826398,0.157997
400,4.339149,0.787428,3.551720,0.826849,0.158581
401,4.346110,0.790828,3.555283,0.822259,0.159133
402,4.336950,0.782668,3.554282,0.824782,0.158496
403,4.343448,0.791148,3.552299,0.815350,0.158396
404,4.329806,0.780925,3.548881,0.817868,0.158436
405,4.332041,0.780152,3.551889,0.822229,0.158139
406,4.338153,0.789810,3.548343,0.812478,0.158185
407,4.327824,0.778994,3.548829,0.821612,0.158652
408,4.324430,0.776814,3.547617,0.814924,0.158171
