epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
76,8.639395,0.665915,5.068276,0.214099,0.118919,0.198358,9.756881,0.170041,0.068075,1.541430,0.197380,0.352515,0.197022,0.213781,0.067002,0.185532,1.262387
77,8.689556,0.530192,5.219737,0.222185,0.122435,0.202310,9.645079,0.184238,0.065968,1.694812,0.200357,0.357232,0.197312,0.221036,0.064736,0.179716,1.274474
78,8.580999,0.613347,5.121197,0.214258,0.116825,0.196923,9.380342,0.171797,0.066664,1.485193,0.201386,0.363964,0.198832,0.217850,0.062140,0.170787,1.282958
79,8.745342,0.663205,5.149684,0.216107,0.120148,0.199807,9.814584,0.179314,0.064805,1.615195,0.200066,0.339279,0.201329,0.230467,0.086189,0.185162,1.282904
80,8.635936,0.622550,5.149037,0.210888,0.117720,0.197888,9.544706,0.175162,0.063574,1.536288,0.191845,0.350141,0.198041,0.199857,0.070485,0.197155,1.239979
81,8.665602,0.603743,5.170686,0.210546,0.123746,0.203446,9.667507,0.168340,0.068125,1.546968,0.201592,0.380338,0.204091,0.216095,0.066107,0.191844,1.267515
82,8.621277,0.595352,5.158824,0.210100,0.121285,0.200850,9.562634,0.172775,0.062370,1.509108,0.183974,0.354271,0.201566,0.212901,0.067533,0.199915,1.235766
83,8.566469,0.602540,5.106647,0.206843,0.121814,0.200717,9.631735,0.166219,0.061594,1.490104,0.188394,0.366952,0.208201,0.210250,0.058442,0.200254,1.237263
84,8.642584,0.571016,5.171488,0.207927,0.121380,0.201131,9.799356,0.173087,0.064764,1.592904,0.178199,0.337320,0.194660,0.199995,0.085979,0.171723,1.257304
85,8.664944,0.603983,5.167813,0.211587,0.122137,0.201686,9.617437,0.174918,0.069312,1.550145,0.176338,0.350745,0.199066,0.170123,0.070948,0.204161,1.203189
86,8.634937,0.631293,5.106174,0.204993,0.121954,0.201172,9.907282,0.166488,0.064037,1.551810,0.186561,0.364120,0.203308,0.179534,0.060999,0.206196,1.213951
87,8.621140,0.634959,5.081112,0.202364,0.120338,0.200273,10.016108,0.163143,0.069080,1.488697,0.181583,0.358217,0.198690,0.181911,0.070108,0.209835,1.209454
88,8.677485,0.593958,5.173687,0.206385,0.121922,0.201116,9.869135,0.175604,0.065110,1.619412,0.177575,0.338546,0.193692,0.184578,0.088941,0.221762,1.200569
89,8.642927,0.577318,5.208157,0.204620,0.122248,0.201522,9.565869,0.177612,0.060613,1.623972,0.196603,0.358250,0.198446,0.219624,0.061725,0.173867,1.274639
90,8.544222,0.532271,5.075651,0.203801,0.120899,0.201341,10.114410,0.172004,0.066737,1.566146,0.180426,0.354766,0.199117,0.182998,0.066149,0.179847,1.236124
91,8.546878,0.581667,5.139290,0.202024,0.121977,0.200971,9.527057,0.165757,0.060618,1.567363,0.205965,0.396585,0.209258,0.207828,0.085769,0.154577,1.319897
92,8.490437,0.566966,5.088051,0.199443,0.123141,0.202181,9.662056,0.160217,0.062125,1.475416,0.189705,0.354873,0.201478,0.190346,0.063352,0.173365,1.254559
93,8.474039,0.548786,5.096331,0.200773,0.123650,0.203496,9.570760,0.158565,0.064082,1.540712,0.205458,0.369401,0.209723,0.208489,0.067339,0.153595,1.305774
