epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
82,9.736941,0.434561,5.795976,0.199730,0.118858,0.191644,8.523504,0.180053,0.068921,0.081999,1.647685,0.177327,0.336908,0.207051,0.198122,0.092779,0.090844,0.178886,1.274626
83,10.027984,0.498749,5.832051,0.196523,0.118572,0.190877,9.178296,0.183484,0.064702,0.083022,1.628266,0.178152,0.336381,0.204715,0.209601,0.098827,0.091948,0.124806,1.337473
84,9.693886,0.415142,5.757417,0.196223,0.117244,0.190116,8.633119,0.176378,0.063475,0.081351,1.652226,0.170807,0.336708,0.199315,0.194904,0.084920,0.086686,0.222756,1.215386
85,9.788242,0.460549,5.775527,0.197488,0.118356,0.191020,8.695541,0.182742,0.064707,0.081786,1.652444,0.165205,0.336783,0.199542,0.176422,0.088588,0.083328,0.255105,1.168979
86,9.748482,0.472060,5.714436,0.195020,0.116370,0.189764,8.733644,0.184660,0.067316,0.081478,1.640100,0.165703,0.333250,0.199056,0.169129,0.093711,0.082361,0.205882,1.216528
87,9.518880,0.374982,5.756461,0.196545,0.117520,0.190732,8.165796,0.177264,0.067458,0.081192,1.680478,0.183701,0.339702,0.196658,0.226354,0.089537,0.095111,0.207333,1.264514
88,9.693468,0.417589,5.753408,0.195747,0.116197,0.189263,8.624928,0.180428,0.064538,0.081777,1.629804,0.164967,0.338219,0.197072,0.157975,0.088343,0.082198,0.238996,1.175551
89,9.609407,0.443015,5.759210,0.198059,0.119461,0.192696,8.214712,0.181245,0.062103,0.081623,1.655789,0.177049,0.340779,0.195039,0.207361,0.082818,0.091320,0.206873,1.244515
90,9.758929,0.407983,5.772012,0.196251,0.117094,0.189991,8.793024,0.180750,0.068029,0.081921,1.660765,0.170531,0.337922,0.192725,0.189639,0.089519,0.086446,0.243350,1.192960
91,9.877001,0.430236,5.729552,0.194453,0.116633,0.189776,9.273869,0.181053,0.065460,0.081166,1.657544,0.165580,0.338362,0.192170,0.169553,0.082563,0.083711,0.253022,1.164623
92,9.758476,0.472399,5.680319,0.195590,0.118450,0.190520,8.925545,0.172143,0.066538,0.079280,1.579585,0.165081,0.332483,0.190659,0.180180,0.094916,0.084655,0.201201,1.225562
93,9.552175,0.436646,5.641153,0.195463,0.118061,0.191728,8.488335,0.172232,0.065019,0.078874,1.585001,0.185002,0.339178,0.190679,0.225358,0.086457,0.096854,0.182728,1.288265
94,9.639351,0.457596,5.687324,0.197123,0.119614,0.191790,8.545877,0.172126,0.064302,0.079694,1.590465,0.171956,0.333736,0.190524,0.178662,0.094585,0.087380,0.211246,1.223233
95,9.752750,0.463232,5.675168,0.196914,0.118830,0.191552,8.966107,0.169291,0.062497,0.079242,1.542113,0.184379,0.340937,0.188821,0.225168,0.079804,0.096435,0.183700,1.283270
96,9.498623,0.441386,5.582835,0.194321,0.119867,0.192875,8.531948,0.163400,0.062566,0.077191,1.598359,0.176799,0.338240,0.187708,0.205026,0.084514,0.091984,0.253224,1.196119
97,9.519506,0.444221,5.597400,0.195325,0.120919,0.194467,8.538681,0.161136,0.062407,0.077134,1.571040,0.164672,0.336077,0.187729,0.173477,0.085460,0.082938,0.274680,1.143447
98,9.530138,0.419610,5.602818,0.195332,0.118290,0.191166,8.644409,0.164691,0.061873,0.077542,1.564927,0.173696,0.340262,0.185974,0.203774,0.086845,0.090392,0.241027,1.204801
99,9.671023,0.456565,5.657126,0.197154,0.120587,0.193239,8.766906,0.170310,0.061279,0.078630,1.539496,0.169579,0.340146,0.185926,0.188620,0.075728,0.087367,0.278340,1.149856
100,9.704625,0.452936,5.514463,0.193319,0.120952,0.194387,9.449177,0.154577,0.060849,0.074741,1.528248,0.184078,0.338054,0.187616,0.205069,0.088457,0.094909,0.148829,1.311148
101,9.733594,0.429870,5.609527,0.195648,0.121828,0.194821,9.255930,0.161804,0.061345,0.077410,1.549784,0.168192,0.334156,0.185291,0.186549,0.092788,0.084813,0.232388,1.198676
102,9.635281,0.444331,5.642310,0.194753,0.118963,0.193261,8.760898,0.167652,0.061336,0.078568,1.538068,0.177810,0.339713,0.183926,0.203575,0.085497,0.092101,0.241995,1.207693
103,9.651516,0.458098,5.592729,0.195042,0.122132,0.194947,8.956206,0.160426,0.060953,0.076112,1.525757,0.181891,0.339985,0.184932,0.201192,0.086894,0.093238,0.164833,1.289361
104,9.513086,0.432133,5.511626,0.193808,0.119573,0.192363,8.894632,0.154546,0.061878,0.074887,1.528537,0.183465,0.335647,0.185112,0.221470,0.092177,0.094624,0.177111,1.290264
105,9.565094,0.388400,5.557418,0.194333,0.120551,0.193459,9.027018,0.158556,0.063944,0.076237,1.571774,0.163350,0.337521,0.183449,0.160581,0.077173,0.082289,0.246022,1.160269
106,9.415483,0.407329,5.494723,0.192476,0.119449,0.192683,8.729500,0.152589,0.059621,0.074387,1.545503,0.164907,0.332388,0.184055,0.176687,0.095728,0.083901,0.229986,1.193646
107,9.564823,0.467600,5.480238,0.194356,0.120936,0.194022,9.061506,0.149448,0.062477,0.073577,1.466465,0.182618,0.343704,0.183293,0.222297,0.076800,0.095282,0.220990,1.240278
108,9.528124,0.443989,5.521021,0.195218,0.120719,0.194062,8.864278,0.155532,0.058729,0.074894,1.472676,0.180054,0.341998,0.184222,0.203230,0.074525,0.092270,0.200279,1.247078
