epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
124,9.444028,0.564834,5.487711,0.195126,0.121560,0.194902,8.871634,0.104146,1.157987,0.178555,0.368883,0.200848,0.139532,0.182345,1.213959
125,9.582129,0.575531,5.469822,0.196365,0.121000,0.194289,9.338495,0.108180,1.138008,0.182460,0.360951,0.198440,0.149232,0.148291,1.255430
126,9.563128,0.589969,5.457104,0.196220,0.119550,0.193489,9.268826,0.109960,1.106608,0.181905,0.366093,0.200062,0.147013,0.228046,1.175304
127,9.548580,0.588961,5.437219,0.195038,0.119968,0.193564,9.310894,0.105671,1.115807,0.185593,0.372387,0.202466,0.149938,0.164087,1.246686
128,9.467039,0.575884,5.461885,0.196146,0.119673,0.193683,8.983374,0.108723,1.094312,0.180859,0.367525,0.201958,0.143974,0.221108,1.180228
129,9.503521,0.547846,5.505974,0.197311,0.121337,0.194813,9.044639,0.107080,1.144289,0.182874,0.375691,0.204016,0.149566,0.202096,1.206861
130,9.462263,0.585023,5.398786,0.194645,0.119307,0.193511,9.178720,0.102526,1.076009,0.176319,0.362431,0.199406,0.137603,0.202420,1.188769
131,9.447548,0.566143,5.465674,0.195255,0.121680,0.194896,8.954777,0.103319,1.130657,0.171940,0.365202,0.201287,0.136244,0.220982,1.166131
132,9.442426,0.583653,5.439191,0.194331,0.121167,0.195028,8.983082,0.100297,1.083192,0.171883,0.361811,0.199498,0.125169,0.221882,1.157314
133,9.430176,0.575555,5.426237,0.195022,0.119400,0.193717,9.002596,0.104225,1.085168,0.176188,0.356361,0.197949,0.135096,0.218256,1.169647
134,9.479609,0.559690,5.467427,0.196357,0.120059,0.194105,9.063438,0.107047,1.104587,0.176708,0.358745,0.199923,0.141125,0.223073,1.170036
135,9.478775,0.580118,5.427725,0.194116,0.119845,0.193746,9.154613,0.102541,1.092488,0.183792,0.366997,0.201095,0.145954,0.168220,1.236872
136,9.475682,0.588071,5.417877,0.193396,0.120589,0.194176,9.155213,0.101515,1.073933,0.176774,0.360544,0.199643,0.140276,0.177765,1.215176
137,9.519682,0.597162,5.441266,0.193933,0.120161,0.194370,9.183107,0.103480,1.085482,0.187250,0.363589,0.200863,0.152921,0.204153,1.207826
138,9.426342,0.577049,5.374561,0.192796,0.119596,0.193520,9.181568,0.100807,1.085040,0.177873,0.366836,0.200364,0.143766,0.232536,1.165073
139,9.490987,0.538386,5.477849,0.195305,0.120475,0.194124,9.139235,0.107925,1.109917,0.187536,0.367050,0.201786,0.159641,0.211080,1.206186
140,9.485296,0.563672,5.479046,0.196317,0.120113,0.194160,9.027700,0.107749,1.088364,0.179917,0.366620,0.200945,0.138803,0.220651,1.176155
