epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
116,9.628178,0.658220,5.094884,0.200078,0.122312,0.202048,7.717975,1.203930,0.218697,0.362577,0.114865,1.230734
117,9.539240,0.633013,5.074461,0.195861,0.123512,0.202867,7.637938,1.229129,0.229418,0.386628,0.135845,1.228893
118,9.626616,0.601973,5.155461,0.197545,0.124749,0.203865,7.720187,1.245788,0.226033,0.372083,0.099336,1.256926
119,9.630013,0.614699,5.118920,0.197896,0.124278,0.203631,7.795231,1.216540,0.209837,0.356408,0.160150,1.174430
120,9.665401,0.634048,5.068464,0.196745,0.123410,0.203253,8.000523,1.196216,0.203784,0.355650,0.196139,1.132123
121,9.621215,0.640683,5.093016,0.196250,0.125037,0.204151,7.785825,1.199958,0.224267,0.358393,0.139002,1.210703
122,9.593759,0.633789,5.019061,0.193707,0.122479,0.202701,7.975491,1.157220,0.209983,0.370071,0.122983,1.216525
123,9.646585,0.625141,5.055274,0.194515,0.124865,0.204148,8.030444,1.191486,0.212829,0.362586,0.207701,1.132032
124,9.616184,0.606275,5.091568,0.195509,0.125248,0.204198,7.882085,1.183761,0.208730,0.349210,0.169246,1.161708
125,9.606894,0.627583,5.025064,0.195026,0.123548,0.203700,7.993142,1.149852,0.222294,0.367669,0.096632,1.254346
126,9.653320,0.634757,4.986042,0.192984,0.123444,0.203078,8.243338,1.161669,0.194416,0.372054,0.187569,1.137066
127,9.604708,0.619603,5.104372,0.195730,0.125656,0.205147,7.767129,1.171042,0.208774,0.364840,0.085815,1.250653
128,9.580770,0.621105,5.067499,0.194639,0.125198,0.204885,7.813719,1.150661,0.185958,0.359809,0.205202,1.106689
129,9.610304,0.623482,5.025098,0.194457,0.123595,0.203592,8.021547,1.128276,0.217404,0.357536,0.149740,1.192802
130,9.567846,0.628010,5.017817,0.193590,0.124380,0.204334,7.914020,1.128951,0.190014,0.357766,0.161612,1.153620
131,9.625690,0.620426,5.009458,0.194598,0.123983,0.203909,8.115597,1.134652,0.184618,0.361425,0.241581,1.069537
132,9.606298,0.620497,5.115498,0.196172,0.125983,0.205475,7.730522,1.163229,0.215292,0.361755,0.150606,1.191301
133,9.583585,0.616673,5.027471,0.194634,0.124717,0.204248,7.952232,1.133221,0.225220,0.361102,0.166904,1.184702
134,9.565008,0.620574,5.071206,0.194540,0.124577,0.204611,7.762291,1.135136,0.210799,0.360768,0.171800,1.165267
135,9.539234,0.632250,5.010151,0.193934,0.124382,0.204260,7.838512,1.125396,0.209636,0.359512,0.178345,1.157121
136,9.542496,0.606374,5.054159,0.195516,0.124407,0.204601,7.776190,1.133130,0.207175,0.360418,0.128778,1.204543
137,9.633404,0.608037,5.070382,0.196313,0.124757,0.204787,7.974666,1.143796,0.205516,0.359905,0.127693,1.203790
138,9.487139,0.615608,5.017215,0.192951,0.124645,0.204605,7.726426,1.133891,0.218247,0.359476,0.161795,1.182269
139,9.576458,0.619015,5.095908,0.195336,0.124338,0.204370,7.721079,1.129630,0.203953,0.360921,0.139227,1.191047
140,9.581128,0.589388,5.021342,0.193468,0.124712,0.204754,8.051412,1.155776,0.230172,0.359252,0.116082,1.239828
