epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
114,9.823117,0.907796,5.383430,0.202385,0.118670,0.193632,8.996086,0.138001,0.057573,1.040092,0.194069,0.366527,0.204174,0.222350,0.063824,0.185904,1.265336
115,9.679159,0.615531,5.493315,0.198978,0.122557,0.197151,9.085983,0.145829,0.059274,1.285149,0.194523,0.358581,0.204042,0.231426,0.064257,0.116424,1.338587
116,9.822044,0.843974,5.412437,0.201859,0.121237,0.196027,9.085417,0.140397,0.058433,1.087606,0.197646,0.346289,0.198509,0.233640,0.055904,0.176702,1.274515
117,9.620556,0.684060,5.389307,0.200046,0.120865,0.196197,9.023291,0.141407,0.060073,1.178410,0.193979,0.358764,0.203426,0.236253,0.063241,0.137895,1.318324
118,9.670796,0.652043,5.454823,0.199610,0.121810,0.197271,9.064568,0.145497,0.058738,1.260468,0.192742,0.357437,0.202437,0.218388,0.052698,0.103372,1.336422
119,9.626125,0.655979,5.450524,0.199953,0.121740,0.197019,8.920433,0.142472,0.060879,1.183842,0.173844,0.350051,0.202768,0.177548,0.064925,0.158954,1.246991
120,9.637495,0.464434,5.398530,0.195583,0.122012,0.197745,9.812390,0.133651,0.063302,1.323947,0.194524,0.352296,0.200478,0.226334,0.058790,0.131203,1.316342
121,9.481115,0.523919,5.422210,0.196691,0.123387,0.198445,9.024947,0.133784,0.056789,1.246462,0.193666,0.349379,0.198294,0.235840,0.058900,0.092897,1.357597
122,9.747644,0.647901,5.371480,0.197555,0.122016,0.197744,9.659998,0.134228,0.059160,1.218762,0.179125,0.360938,0.204940,0.186312,0.068663,0.139355,1.280746
123,9.387774,0.372991,5.341499,0.193598,0.123259,0.199383,9.490294,0.131142,0.061653,1.411235,0.188654,0.358518,0.206361,0.221697,0.057390,0.156615,1.284385
124,9.315636,0.395507,5.282802,0.192750,0.121701,0.197779,9.395886,0.127924,0.061627,1.408818,0.177167,0.352847,0.203624,0.184853,0.064225,0.176674,1.236553
