epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
94,8.512794,0.691534,5.130960,0.203485,0.120146,0.198546,9.531290,0.121455,1.282830,0.178172,0.352282,0.197920,0.131846,0.168610,1.218502
95,8.466318,0.687109,5.097803,0.197672,0.121382,0.199278,9.690998,0.109166,1.314265,0.185617,0.348208,0.195710,0.137869,0.157147,1.239546
96,8.555768,0.719576,5.084979,0.200099,0.119144,0.198191,10.025457,0.119902,1.322500,0.179038,0.355495,0.197019,0.135715,0.162337,1.228335
97,8.469774,0.697033,5.100724,0.197761,0.122496,0.199503,9.588781,0.112810,1.269716,0.193019,0.350488,0.194111,0.145587,0.162888,1.245814
98,8.443212,0.685264,5.087021,0.198349,0.120211,0.197818,9.590496,0.113525,1.279110,0.192974,0.345066,0.192775,0.140093,0.152990,1.250886
99,8.458250,0.692597,5.050360,0.198355,0.120047,0.198498,9.835815,0.117757,1.286909,0.199827,0.378076,0.202233,0.127951,0.146496,1.266387
100,8.445882,0.677694,5.096298,0.197750,0.121868,0.198923,9.602173,0.112316,1.291249,0.196348,0.369591,0.201643,0.143447,0.137316,1.279511
101,8.459684,0.664291,5.069813,0.196620,0.119843,0.197836,9.960262,0.116627,1.354909,0.180686,0.341556,0.193542,0.142546,0.209498,1.183090
102,8.374800,0.649871,5.024805,0.194311,0.121639,0.198862,9.885182,0.109640,1.323467,0.194771,0.356497,0.196148,0.142312,0.134082,1.276220
103,8.332952,0.600713,5.015777,0.193019,0.120732,0.198746,10.048448,0.106805,1.283558,0.197716,0.377443,0.203763,0.140278,0.162476,1.256025
104,8.386127,0.609131,5.085945,0.193139,0.123467,0.200252,9.838758,0.108222,1.329378,0.192739,0.353621,0.195826,0.142808,0.139337,1.268558
105,8.410440,0.639536,5.017546,0.192664,0.122371,0.200102,10.253916,0.109545,1.339072,0.202042,0.390810,0.208901,0.140960,0.163090,1.264360
106,8.339983,0.598126,5.065104,0.191718,0.123248,0.200418,9.759026,0.109318,1.344446,0.205000,0.379375,0.204644,0.152099,0.152759,1.280768
107,8.310408,0.620072,5.008621,0.189159,0.123091,0.200083,9.906284,0.103146,1.308427,0.195604,0.374374,0.203568,0.141536,0.151161,1.265310
108,8.321068,0.629109,4.987944,0.189274,0.122262,0.199714,10.065927,0.102374,1.254526,0.193919,0.361910,0.199282,0.150646,0.158355,1.258119
109,8.392862,0.648772,4.981017,0.192080,0.122280,0.200096,10.341402,0.108376,1.387645,0.215526,0.398964,0.209667,0.157482,0.120288,1.332420
110,8.316550,0.638731,4.983068,0.187537,0.122975,0.199995,10.013243,0.104627,1.365431,0.201085,0.377878,0.202763,0.150572,0.149304,1.278529
111,8.228115,0.582696,4.978222,0.188156,0.121591,0.198983,9.861856,0.101603,1.305825,0.202117,0.359875,0.197863,0.160435,0.127503,1.302208
112,8.247883,0.612394,4.901923,0.186660,0.120400,0.198097,10.362843,0.100081,1.300029,0.206740,0.344313,0.194378,0.175640,0.129278,1.310022
113,8.264851,0.616093,4.965261,0.186728,0.122575,0.199491,9.999882,0.100626,1.297701,0.198495,0.354689,0.196144,0.160620,0.156009,1.268639
114,8.248707,0.619994,4.910414,0.186540,0.120529,0.198409,10.253618,0.100599,1.286929,0.210262,0.363774,0.198530,0.172862,0.147791,1.298503
115,8.209518,0.617334,4.907691,0.184684,0.121507,0.199044,10.097205,0.096078,1.253857,0.215754,0.356556,0.198152,0.175989,0.129722,1.322382
116,8.215332,0.626925,4.893153,0.184922,0.121079,0.198755,10.151085,0.097987,1.243539,0.213849,0.383573,0.204693,0.173204,0.131877,1.324017
117,8.235844,0.632266,4.889045,0.183785,0.121191,0.199224,10.301853,0.097232,1.245826,0.207846,0.355199,0.197740,0.176261,0.138410,1.305555
118,8.226034,0.634224,4.892607,0.184280,0.122558,0.200113,10.157756,0.099109,1.256576,0.213665,0.391750,0.208369,0.163877,0.115056,1.337796
119,8.198930,0.631065,4.907925,0.182173,0.123012,0.200269,9.975858,0.094791,1.268810,0.211735,0.372085,0.202165,0.166222,0.109434,1.337100
120,8.137163,0.618855,4.855302,0.181993,0.122171,0.199738,10.031833,0.092297,1.208488,0.212788,0.355567,0.197640,0.179037,0.123133,1.327483
121,8.172600,0.626194,4.880962,0.182257,0.122205,0.199740,10.024498,0.094254,1.225904,0.201607,0.366642,0.200557,0.161135,0.118111,1.313673
122,8.176443,0.622945,4.852147,0.181920,0.121884,0.199894,10.277964,0.093209,1.181035,0.211392,0.371326,0.202059,0.169540,0.133118,1.314880
123,8.124232,0.586235,4.870217,0.182081,0.122425,0.199921,10.045320,0.093755,1.214310,0.205442,0.360262,0.198629,0.162904,0.152252,1.282573
124,8.101350,0.597687,4.844509,0.180621,0.122192,0.199601,10.061993,0.089488,1.186872,0.206805,0.360019,0.198298,0.167925,0.139756,1.299297
125,8.114923,0.624266,4.813911,0.180280,0.121031,0.199322,10.197432,0.088775,1.151834,0.200350,0.369936,0.201697,0.156171,0.129833,1.298716
126,8.143801,0.639023,4.814223,0.181715,0.121221,0.198985,10.254215,0.090053,1.155466,0.215608,0.369057,0.202663,0.172190,0.138058,1.315475
127,8.110613,0.590090,4.863857,0.180634,0.123142,0.200820,10.043858,0.087516,1.183348,0.209477,0.363578,0.199643,0.166282,0.122236,1.319619
128,8.115023,0.618664,4.823570,0.179320,0.122647,0.200580,10.187269,0.086904,1.166409,0.203176,0.360656,0.199497,0.165619,0.152943,1.281584
129,8.099107,0.599446,4.837213,0.179722,0.122307,0.200153,10.108101,0.087879,1.186426,0.207216,0.359714,0.199314,0.168814,0.134332,1.305909
130,8.095301,0.605810,4.803405,0.180279,0.121642,0.199978,10.251818,0.088486,1.145971,0.208909,0.366069,0.201335,0.174275,0.127496,1.319593
131,8.103107,0.602140,4.806087,0.179855,0.122300,0.200274,10.319767,0.087873,1.160314,0.203975,0.363855,0.200736,0.164425,0.130325,1.305296
132,8.109081,0.621388,4.803315,0.179723,0.122430,0.200343,10.253620,0.087621,1.157116,0.206032,0.361901,0.200703,0.162926,0.143624,1.292755
133,8.072122,0.583465,4.806386,0.179950,0.122641,0.200236,10.240816,0.087182,1.161812,0.204483,0.364752,0.201392,0.166252,0.145710,1.291893
134,8.092999,0.598009,4.829609,0.179413,0.123162,0.200940,10.124748,0.087486,1.173584,0.205541,0.365870,0.201582,0.162278,0.158511,1.278045
135,8.081854,0.584465,4.836023,0.179830,0.123213,0.200782,10.106178,0.085981,1.191944,0.202590,0.364477,0.201081,0.161559,0.156535,1.276211
136,8.069367,0.582070,4.811502,0.178934,0.122850,0.200948,10.226180,0.085074,1.177474,0.208303,0.362207,0.200723,0.171387,0.103305,1.340488
137,8.103104,0.610137,4.801609,0.179660,0.122170,0.200311,10.306404,0.087146,1.149438,0.205887,0.363629,0.201310,0.166813,0.151498,1.287595
138,8.073134,0.584138,4.797422,0.179035,0.122383,0.200458,10.323289,0.086576,1.171368,0.206154,0.361720,0.200569,0.166710,0.144007,1.294688
139,8.086850,0.621764,4.777803,0.178334,0.122163,0.200184,10.326784,0.085112,1.140211,0.203247,0.363026,0.200558,0.164975,0.149645,1.285360
140,8.118425,0.632100,4.799202,0.179646,0.122061,0.200337,10.290205,0.085846,1.130117,0.209714,0.360675,0.200052,0.170591,0.122851,1.321368
