epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
68,10.088949,1.011911,5.418878,0.200870,0.121875,0.194798,9.404379,0.137914,0.061172,1.222383,0.162449,0.332308,0.191490,0.182086,0.069223,0.198510,1.194997
69,10.137177,1.081592,5.360281,0.202041,0.122568,0.195247,9.516658,0.136061,0.064064,1.222045,0.164861,0.349127,0.196799,0.170668,0.056475,0.192227,1.195168
70,9.898297,0.826669,5.369741,0.198081,0.121125,0.193776,9.551798,0.138123,0.066346,1.320855,0.169595,0.362304,0.196162,0.171210,0.056759,0.208677,1.186111
71,10.044930,0.966402,5.271149,0.195668,0.120476,0.193319,9.943086,0.131058,0.066688,1.265234,0.179135,0.381362,0.204353,0.176534,0.070089,0.166057,1.253497
72,10.035325,1.056659,5.329015,0.198690,0.120929,0.194469,9.415527,0.130086,0.061929,1.223445,0.173599,0.352822,0.197205,0.181499,0.056919,0.175851,1.226697
73,9.987208,1.008173,5.226665,0.195757,0.120002,0.193432,9.800724,0.124449,0.061474,1.183708,0.172429,0.350081,0.194898,0.200560,0.060614,0.195939,1.216000
74,9.966516,0.979110,5.266764,0.195071,0.120606,0.193858,9.685166,0.124592,0.064497,1.166906,0.182115,0.384462,0.207556,0.193597,0.069813,0.181830,1.250346
75,10.186668,1.144729,5.335583,0.198826,0.123737,0.196505,9.580138,0.127716,0.067898,1.208307,0.171544,0.358657,0.200877,0.183449,0.055790,0.220617,1.182088
76,10.015507,1.013481,5.246914,0.194447,0.119806,0.193305,9.799520,0.124795,0.066400,1.268851,0.168871,0.359635,0.197674,0.166599,0.059495,0.201225,1.191891
77,9.800957,0.872544,5.185419,0.190182,0.120251,0.192170,9.823896,0.118777,0.061579,1.164610,0.174252,0.352679,0.197086,0.189556,0.058022,0.166346,1.241438
78,9.783837,0.826854,5.201895,0.189826,0.120773,0.193297,9.871925,0.114595,0.062579,1.188622,0.168287,0.358726,0.196518,0.163917,0.052771,0.196412,1.190662
79,9.801945,0.858416,5.204362,0.192145,0.119112,0.191791,9.789972,0.121582,0.062753,1.173093,0.178946,0.367647,0.200395,0.190593,0.062966,0.147800,1.271337
80,9.910463,0.967321,5.163348,0.189658,0.120561,0.192984,9.941805,0.117664,0.063718,1.229350,0.171143,0.343054,0.194653,0.198782,0.057622,0.170784,1.236015
81,10.028259,1.051178,5.236613,0.193312,0.121272,0.194087,9.789953,0.119032,0.061130,1.166100,0.179210,0.372237,0.201707,0.194758,0.059745,0.187885,1.232942
82,9.707347,0.819771,5.161633,0.188243,0.121154,0.193079,9.807336,0.110274,0.060169,1.156270,0.176042,0.363840,0.198692,0.184350,0.059854,0.188025,1.222315
83,9.928814,1.053386,5.077293,0.189471,0.119298,0.192606,10.064691,0.105268,0.059994,1.124915,0.185868,0.344215,0.195517,0.234610,0.069282,0.129786,1.316465
84,9.839051,0.892125,5.145113,0.189127,0.120118,0.192296,10.029383,0.112609,0.066964,1.127653,0.183093,0.380579,0.200314,0.190463,0.068404,0.179214,1.249306
85,9.784678,0.951491,5.076980,0.187005,0.119454,0.191760,9.960140,0.100679,0.059408,1.025616,0.166987,0.349891,0.195074,0.177644,0.054420,0.164239,1.227398
86,9.896433,1.001301,5.066918,0.188041,0.119862,0.191776,10.182062,0.103252,0.060326,1.126278,0.184959,0.377254,0.202302,0.203619,0.060691,0.177087,1.255473
87,9.798513,0.906728,5.046901,0.185340,0.118412,0.190331,10.263672,0.103933,0.058347,1.106297,0.172668,0.358181,0.198251,0.171150,0.052480,0.159051,1.236143
88,9.820944,1.028990,5.050876,0.188579,0.120320,0.192266,9.906298,0.099024,0.058915,0.982818,0.175569,0.365533,0.199736,0.187054,0.060572,0.170151,1.241998
89,9.724447,0.903079,5.004737,0.185350,0.119104,0.190896,10.179197,0.098048,0.060875,0.997289,0.167284,0.356306,0.198530,0.173473,0.056433,0.210423,1.182446
90,9.717220,0.877963,5.086740,0.186144,0.121017,0.191605,9.942751,0.100460,0.062309,1.037427,0.171301,0.350610,0.192051,0.193226,0.063564,0.190007,1.218228
91,9.741025,0.906783,4.993387,0.185571,0.117477,0.190020,10.247288,0.100658,0.063190,1.036498,0.183747,0.355951,0.194412,0.218038,0.067094,0.184941,1.251569
92,9.638276,0.873988,4.996135,0.183320,0.118728,0.190442,10.031550,0.096549,0.062159,1.040766,0.177973,0.351321,0.195768,0.201668,0.060493,0.174451,1.243934
93,9.613874,0.881873,4.954940,0.181717,0.119707,0.190788,10.078508,0.091454,0.064226,0.990514,0.183020,0.354216,0.193770,0.209660,0.057677,0.168499,1.257462
94,9.726961,0.922511,5.005716,0.184960,0.118651,0.190292,10.131804,0.096858,0.060108,0.963966,0.172035,0.353327,0.195021,0.199555,0.059008,0.189485,1.221286
95,9.683540,0.894826,4.955604,0.182554,0.118748,0.190500,10.273992,0.092295,0.060121,0.978080,0.181942,0.375893,0.200783,0.194152,0.067912,0.183809,1.244394
96,9.676436,0.872644,5.014618,0.182734,0.120230,0.191689,10.106411,0.094081,0.062069,1.030261,0.186665,0.368861,0.202016,0.217093,0.068982,0.165564,1.278426
97,9.652755,0.865290,4.959192,0.181754,0.120874,0.192234,10.249435,0.091262,0.061853,0.969111,0.183722,0.389829,0.205116,0.202136,0.086684,0.159975,1.287786
