epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
106,6.389294,1.024329,4.604121,0.187698,0.125640,0.896224,0.176035,0.354596,0.164502,1.135642
107,6.329247,0.988679,4.585104,0.186326,0.126989,0.949841,0.165361,0.345988,0.208144,1.078312
108,6.256514,0.956727,4.554053,0.183910,0.126180,0.963956,0.172813,0.356189,0.182931,1.114549
109,6.273275,0.951590,4.572138,0.184845,0.127116,0.951524,0.174431,0.351162,0.183844,1.113494
110,6.253988,0.924729,4.580473,0.184668,0.126409,0.931307,0.172307,0.350377,0.183487,1.111452
111,6.220222,0.898894,4.578931,0.183059,0.127038,0.933610,0.177709,0.355704,0.173414,1.128791
112,6.160221,0.915179,4.507460,0.181889,0.125315,0.883441,0.167788,0.349780,0.203175,1.087036
113,6.178143,0.859208,4.576784,0.182987,0.127498,0.921179,0.171521,0.361016,0.181291,1.116585
114,6.091249,0.823466,4.535280,0.180590,0.126775,0.934434,0.165354,0.346146,0.192252,1.094254
115,6.176906,0.877028,4.557390,0.183091,0.126560,0.851809,0.169813,0.362678,0.208936,1.087814
116,6.053194,0.854628,4.464246,0.181100,0.124018,0.834524,0.169369,0.357601,0.203352,1.091177
117,6.097310,0.822541,4.538883,0.181441,0.126529,0.881459,0.170739,0.358112,0.187335,1.108744
118,6.053266,0.790755,4.528677,0.180930,0.126415,0.895609,0.167783,0.351039,0.199890,1.090756
119,6.051738,0.826735,4.493317,0.180402,0.125972,0.839605,0.167681,0.358894,0.190269,1.103025
120,6.044886,0.798557,4.512299,0.180982,0.126262,0.861760,0.168875,0.353018,0.190077,1.102354
121,5.998818,0.798731,4.467644,0.180593,0.125869,0.854073,0.171199,0.362237,0.188726,1.109256
122,6.061272,0.810539,4.515959,0.181158,0.126781,0.837972,0.168735,0.351274,0.194815,1.096866
123,6.018139,0.817923,4.464272,0.181483,0.125153,0.819778,0.168720,0.358145,0.196926,1.097145
124,6.051689,0.794912,4.520022,0.181641,0.127401,0.847576,0.172461,0.360168,0.183983,1.114536
125,5.991117,0.815207,4.443450,0.180619,0.124789,0.805339,0.164846,0.352402,0.204041,1.084146
126,5.985198,0.805039,4.447425,0.180676,0.125389,0.813225,0.168302,0.356313,0.190656,1.102356
127,6.033737,0.786683,4.511696,0.181299,0.127021,0.833468,0.170520,0.356779,0.188980,1.106413
128,5.978997,0.791848,4.456320,0.180199,0.125404,0.808437,0.166899,0.355622,0.187626,1.103741
129,5.985249,0.815475,4.439074,0.180163,0.125577,0.786872,0.166285,0.353408,0.191701,1.098277
130,5.998420,0.798103,4.466702,0.180877,0.126331,0.801993,0.171803,0.356340,0.184104,1.112418
131,6.005885,0.789252,4.484345,0.180536,0.126810,0.807031,0.170827,0.359115,0.185239,1.111278
132,5.990382,0.778264,4.480544,0.180356,0.126880,0.815795,0.168475,0.355077,0.192391,1.100361
133,6.026434,0.808541,4.482107,0.181411,0.126746,0.787432,0.174131,0.356874,0.184116,1.114921
134,6.026090,0.799909,4.493229,0.180703,0.126757,0.790198,0.166062,0.357806,0.196166,1.095129
135,6.014030,0.811591,4.470303,0.180498,0.126822,0.790403,0.169796,0.358468,0.187953,1.107307
136,5.958825,0.780132,4.449773,0.179697,0.126678,0.788167,0.169792,0.355071,0.182070,1.111997
137,5.986821,0.792122,4.464330,0.180065,0.126352,0.778233,0.167197,0.355727,0.205031,1.086670
138,6.012301,0.802282,4.478321,0.180396,0.126442,0.781410,0.168706,0.358200,0.194438,1.099638
139,5.968084,0.781626,4.456456,0.179975,0.126268,0.797202,0.170111,0.357114,0.178501,1.116599
140,5.987826,0.804048,4.453496,0.180041,0.126489,0.781280,0.170338,0.355509,0.185347,1.109420
